date,coin,price,volume,market_cap
2024-12-02T00:00:00Z,BITCOIN,97311.70719084324,49147687432.565895,1925808416477.5068
2024-12-03T00:00:00Z,BITCOIN,95833.1362300365,101019861361.49252,1896576914275.523
2024-12-04T00:00:00Z,BITCOIN,96031.63097759831,87935752287.975,1900922167493.3643
2024-12-05T00:00:00Z,BITCOIN,98881.4694561823,98230784298.0459,1957276192604.2603
2024-12-06T00:00:00Z,BITCOIN,97201.50036407741,190460293531.53802,1920742551503.6094
2024-12-07T00:00:00Z,BITCOIN,99973.85150659826,115812632020.44765,1978389972043.7947
2024-12-08T00:00:00Z,BITCOIN,99781.82999198174,61061136199.7846,1974739091620.7542
2024-12-09T00:00:00Z,BITCOIN,101235.3717025316,62677764785.05408,2003238967638.8286
2024-12-10T00:00:00Z,BITCOIN,97353.94700820887,146846843211.51685,1926047690157.6282
2024-12-11T00:00:00Z,BITCOIN,96649.71446771531,125835977742.51114,1913115778728.2837
2024-12-12T00:00:00Z,BITCOIN,101123.61811033697,118484957960.76833,2001746436338.842
2024-12-13T00:00:00Z,BITCOIN,100000.80836535197,100092043319.81221,1979166149963.3093
2024-12-14T00:00:00Z,BITCOIN,101352.22971292294,78802903278.85962,2005406021235.8357
2024-12-15T00:00:00Z,BITCOIN,101367.01064553364,57321924844.41535,2007646386698.8667
2024-12-16T00:00:00Z,BITCOIN,104721.50151808978,70645074624.52869,2075487816560.1924
2024-12-17T00:00:00Z,BITCOIN,106074.10723541168,115184737759.33566,2097460193710.789
2024-12-18T00:00:00Z,BITCOIN,106034.913402645,93417826250.1972,2100629850064.9119
2024-12-19T00:00:00Z,BITCOIN,100355.5761481501,113692025885.44745,1985284833093.572
2024-12-20T00:00:00Z,BITCOIN,97851.35377075805,100611554887.24123,1937022229972.2085
2024-12-21T00:00:00Z,BITCOIN,97691.43431692653,112340864006.62827,1932373308116.0107
2024-12-22T00:00:00Z,BITCOIN,97202.82496847633,53058382639.48845,1922768195068.165
