date,coin,search_interest
2024-12-02,ETHEREUM,59
2024-12-03,ETHEREUM,51
2024-12-04,ETHEREUM,65
2024-12-05,ETHEREUM,100
2024-12-06,ETHEREUM,88
2024-12-07,ETHEREUM,74
2024-12-08,ETHEREUM,63
2024-12-09,ETHEREUM,61
2024-12-10,ETHEREUM,58
2024-12-11,ETHEREUM,54
2024-12-12,ETHEREUM,58
2024-12-13,ETHEREUM,51
2024-12-14,ETHEREUM,47
2024-12-15,ETHEREUM,47
2024-12-16,ETHEREUM,67
2024-12-17,ETHEREUM,64
2024-12-18,ETHEREUM,52
2024-12-19,ETHEREUM,56
2024-12-20,ETHEREUM,50
2024-12-21,ETHEREUM,34
2024-12-22,ETHEREUM,33
2024-12-23,ETHEREUM,40
2024-12-24,ETHEREUM,41
2024-12-25,ETHEREUM,35
2024-12-26,ETHEREUM,38
2024-12-27,ETHEREUM,32
2024-12-28,ETHEREUM,27
2024-12-29,ETHEREUM,28
2024-12-30,ETHEREUM,33
2024-12-31,ETHEREUM,30
2025-01-01,ETHEREUM,28
2025-01-02,ETHEREUM,34
2025-01-03,ETHEREUM,36
2025-01-04,ETHEREUM,31
2025-01-05,ETHEREUM,29
2025-01-06,ETHEREUM,37
2025-01-07,ETHEREUM,36
2025-01-08,ETHEREUM,32
2025-01-09,ETHEREUM,28
2025-01-10,ETHEREUM,26
2025-01-11,ETHEREUM,23
2025-01-12,ETHEREUM,24
2025-01-13,ETHEREUM,33
2025-01-14,ETHEREUM,32
2025-01-15,ETHEREUM,38
2025-01-16,ETHEREUM,38
2025-01-17,ETHEREUM,43
2025-01-18,ETHEREUM,39
2025-01-19,ETHEREUM,46
2025-01-20,ETHEREUM,62
2025-01-21,ETHEREUM,48
2025-01-22,ETHEREUM,42
2025-01-23,ETHEREUM,38
2025-01-24,ETHEREUM,42
2025-01-25,ETHEREUM,36
2025-01-26,ETHEREUM,34
2025-01-27,ETHEREUM,37
2025-01-28,ETHEREUM,32
2025-01-29,ETHEREUM,30
2025-01-30,ETHEREUM,32
2025-01-31,ETHEREUM,33
2025-02-01,ETHEREUM,29
2025-02-02,ETHEREUM,37
2025-02-03,ETHEREUM,81
2025-02-04,ETHEREUM,51
2025-02-05,ETHEREUM,41
2025-02-06,ETHEREUM,40
2025-02-07,ETHEREUM,37
2025-02-08,ETHEREUM,28
2025-02-09,ETHEREUM,27
2025-02-10,ETHEREUM,28
2025-02-11,ETHEREUM,28
2025-02-12,ETHEREUM,28
2025-02-13,ETHEREUM,27
2025-02-14,ETHEREUM,27
2025-02-15,ETHEREUM,26
2025-02-16,ETHEREUM,23
2025-02-17,ETHEREUM,28
2025-02-18,ETHEREUM,33
2025-02-19,ETHEREUM,26
2025-02-20,ETHEREUM,28
2025-02-21,ETHEREUM,34
2025-02-22,ETHEREUM,30
2025-02-23,ETHEREUM,28
2025-02-24,ETHEREUM,29
2025-02-25,ETHEREUM,41
2025-02-26,ETHEREUM,33
2025-02-27,ETHEREUM,33
2025-02-28,ETHEREUM,43
2025-03-01,ETHEREUM,28
2025-03-02,ETHEREUM,80
2025-03-03,ETHEREUM,89
2025-03-04,ETHEREUM,82
2025-03-05,ETHEREUM,64
2025-03-06,ETHEREUM,60
2025-03-07,ETHEREUM,55
2025-03-08,ETHEREUM,46
2025-03-09,ETHEREUM,57
2025-03-10,ETHEREUM,82
2025-03-11,ETHEREUM,76
2025-03-12,ETHEREUM,61
2025-03-13,ETHEREUM,58
2025-03-14,ETHEREUM,55
2025-03-15,ETHEREUM,42
2025-03-16,ETHEREUM,49
2025-03-17,ETHEREUM,46
2025-03-18,ETHEREUM,43
2025-03-19,ETHEREUM,50
2025-03-20,ETHEREUM,42
2025-03-21,ETHEREUM,36
2025-03-22,ETHEREUM,34
2025-03-23,ETHEREUM,37
2025-03-24,ETHEREUM,46
2025-03-25,ETHEREUM,41
2025-03-26,ETHEREUM,38
2025-03-27,ETHEREUM,39
2025-03-28,ETHEREUM,45
2025-03-29,ETHEREUM,40
2025-03-30,ETHEREUM,36
2025-03-31,ETHEREUM,41
2025-04-01,ETHEREUM,36
2025-04-02,ETHEREUM,38
2025-04-03,ETHEREUM,54
