datetime,hits,keyword,geo,time,gprop,category
2024-12-02T00:00:00Z,37,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-03T00:00:00Z,35,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-04T00:00:00Z,35,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-05T00:00:00Z,100,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-06T00:00:00Z,61,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-07T00:00:00Z,44,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-08T00:00:00Z,38,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-09T00:00:00Z,42,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-10T00:00:00Z,42,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-11T00:00:00Z,39,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-12T00:00:00Z,39,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-13T00:00:00Z,33,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-14T00:00:00Z,30,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-15T00:00:00Z,32,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-16T00:00:00Z,49,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-17T00:00:00Z,46,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-18T00:00:00Z,43,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-19T00:00:00Z,48,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-20T00:00:00Z,46,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-21T00:00:00Z,30,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-22T00:00:00Z,29,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-23T00:00:00Z,34,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-24T00:00:00Z,34,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-25T00:00:00Z,30,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-26T00:00:00Z,34,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-27T00:00:00Z,33,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-28T00:00:00Z,26,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-29T00:00:00Z,26,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-30T00:00:00Z,34,bitcoin,US,2024-12-02 2025-03-01,web,0
2024-12-31T00:00:00Z,30,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-01T00:00:00Z,24,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-02T00:00:00Z,30,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-03T00:00:00Z,29,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-04T00:00:00Z,23,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-05T00:00:00Z,24,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-06T00:00:00Z,30,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-07T00:00:00Z,32,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-08T00:00:00Z,29,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-09T00:00:00Z,30,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-10T00:00:00Z,29,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-11T00:00:00Z,21,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-12T00:00:00Z,20,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-13T00:00:00Z,29,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-14T00:00:00Z,27,bitcoin,US,2024-12-02 2025-03-01,web,0
2025-01-15T00:00:00Z,30,bitcoin,US,2024-12-02 2025-03-01,web,0
